.e         A        y (sumti)                                 logical connective: sumti afterthought and
 ji        A        sumti conn ?                              logical connective: sumti afterthought connective question
.o         A        sii (sumti)                               logical connective: sumti afterthought biconditional/iff/if-and-only-if
.a         A        o (sumti)                                 logical connective: sumti afterthought or
.u         A        sumti whether                             logical connective: sumti afterthought whether-or-not
.enai      A*       sumti but not                             logical connective: sumti afterthought x but not y
 na.a      A*       sumti only if                             logical connective: sumti afterthought conditional/only if
.onai      A*       o exclusivo (sumti)                       logical connective: sumti afterthought exclusive or; Latin 'aut'
 du'o      BAI      sabido por                                djuno modal, 1st place (info source)            authoritatively; according to ...; known by ...
 si'u      BAI      con ayuda de                              sidju modal, 1st place (aiding agent)             aided by ...
 zau       BAI      aprobado por                              zanru modal, 1st place                            approved by ...
 ki'i      BAI      en relación con                           ckini modal, 1st place (related to)               relatively; as a relation of ...
 du'i      BAI      tanto como                                dunli modal, 1st place (equalled by)              equally; as much as ...
 cu'u      BAI      dicho por                                 cusku modal, 1st place (attribution/quotation)    as said by source ...; used for quotation
 tu'i      BAI      en (sitio)                                stuzi modal, 1st place (used to situate letters)  associated with site ... ; label with location
 ti'u      BAI      a las (horas)                             tcika modal, 1st place (for letters)              associated with time ... ; attach time stamp
 di'o      BAI      en (ubicación)                            diklo modal, 1st place                            at the locus of ...
 ji'u      BAI      basado en                                 jicmu modal, 1st place (assumptions);             given that ...; based on ...
 ri'a      BAI      causado por                               rinka modal, 1st place (phys./mental)             causal because ...
 ni'i      BAI      porque (lógica)                           nibli modal, 1st place                            logically; logically because ...
 mu'i      BAI      por (motivo)                              mukti modal, 1st place                            because of motive ...
 ki'u      BAI      porque (razón)                            krinu modal, 1st place (justified by)             justifiably; because of reason ...
 va'u      BAI      (beneficio)                                 xamgu modal, 1st place beneficiary case tag complement  benefiting from ...
 koi       BAI      limitado por                              korbi modal, 1st place (bordered by)              bounded by ...
 ca'i      BAI      por autoridad de                          catni modal, 1st place                            by authority of ...
 ta'i      BAI      por método ...                            tadji modal, 1st place (in manner 3)              methodically; by method ...
 pu'e      BAI      por proceso ...                           pruce modal, 1st place (in manner 1)              by process ...
 ja'i      BAI      por regla ...                             javni modal, 1st place (by standard 1)            orderly; by rule ...
 kai       BAI      característico de                         ckaji modal, 1st place                            characterizing ...
 bai       BAI      compelido por                             bapli modal, 1st place (forced by)                forcedly; compelled by force ...
 fi'e      BAI      creado por                                finti modal, 1st place (creator)                  created by ...
 de'i      BAI      con fecha ...                             detri modal, 1st place (for letters)              dated ... ; attaches date stamp
 ci'o      BAI      sentido por                               cinmo modal, 1st place                            emotionally felt by ...
 mau       BAI      superado por                              zmadu modal, 1st place (a greater)                exceeded by ... ; usually a sumti modifier
 mu'u      BAI      por ejemplo ...                           mupli modal, 1st place                            exemplified by ...
 ri'i      BAI      experimentado por                         lifri modal, 1st place patient/passive case tag; happens to...,experienced by...,with passive...
 ra'i      BAI      de origen                                 krasi modal, 1st place                            from source/origin/starting point ...
 ka'a      BAI      ido por                                   klama modal, 1st place                            gone to by ...
 pa'u      BAI      con parte ...                             pagbu modal, 1st place                            having component ...
 pa'a      BAI      paralelamente con                         panra modal, 1st place (parallel; shared property) similarly; in addition to ...
 le'a      BAI      en categoria ...                          klesi modal, 1st place (scalar set)               in/of category ...
 ku'u      BAI      en cultura ...                            kulnu modal, 1st place                            in culture ...
 tai       BAI      en forma ...                              tamsmi modal, 1st place (like)/(in manner 2)      resembling ...; sharing ideal form ...                  (x1 resembles x2 sharing ideal form/shape x3 in property x4)
 bau       BAI      en lenguaje ...                           bangu modal, 1st place                            in language ...
 ma'i      BAI      en marco de referencia ...                manri modal, 1st place (by standard 2)            in reference frame ...
 ci'e      BAI      en sistema ...                            ciste modal, 1st place used in scalar negation    in system/context ...
 fau       BAI      con evento ...                            fasnu modal, 1st place (non-causal)               in the event of ...
 po'i      BAI      en secuencia ...                          porsi modal, 1st place (in order)                 sequentially; in the sequence ...
 cau       BAI      carecido por                              claxu modal, 1st place                            lacked by ...
 ma'e      BAI      objeto material ...                       marji modal, 1st place                            material in object/substance ...
 ci'u      BAI      en escala ...                             ckilu modal, 1st place                            on the scale ...
 ra'a      BAI      con relación a                            srana modal, 1st place                            pertained to by ... (generally more specific)
 pu'a      BAI      complacido por                            pluka modal, 1st place                            pleased by ...
 li'e      BAI      precedido por                             lidne modal, 1st place                            preceded by ...; non-time sequencing
 la'u      BAI      cantidad de                               klani modal, 1st place (amount)                   quantifying ...; being a quantity of ...
 ba'i      BAI      reemplazado por                           basti modal, 1st place                            replaced by ...
 ka'i      BAI      representado por                          krati modal, 1st place                            represented by ...
 sau       BAI      requiriendo                               sarcu modal, 1st place                            requiring ...
 fa'e      BAI      reverso de                                fatne modal, 1st place                            backwards; reverse of ...
 be'i      BAI      enviado por                               benji modal, 1st place (sender)                   sent by ...
 ti'i      BAI      sugerido por                              stidi modal, 1st place                            suggested by ...; proposed by ...
 ja'e      BAI      con resultado ...                         jalge modal, 1st place                            resultingly; therefore result ...
 ga'a      BAI      observado por ...                         zgana modal, 1st place                            to observer ... ; witnessed by ...
 va'o      BAI      bajo condiciones ...                      vanbi modal, 1st place (conditions 1)             under conditions ...; in environment ...
 ji'o      BAI      bajo control de                           jitro modal, 1st place (control)                  controlledly; under direction of ...
 me'a      BAI      superando a                               mleca modal, 1st place (a lesser)                 undercut by ... ; usually a sumti modifier
 do'e      BAI      modal no específico                       elliptical/unspecified modal
 ji'e      BAI      hasta límite                              jimte modal, 1st place                            limitedly; up to limit ...
 pi'o      BAI      usado por                                 pilno modal, 1st place                            used by ...
 gau       BAI      por (agente)                              gasnu modal, 1st place agent/actor case tag       with active agent ...
 zu'e      BAI      con actor ...                             zukte modal, 1st place (purposed agent)           with goal-seeking actor ...
 me'e      BAI      con nombre ...                            cmene modal, 1st place (requires quote)           with name ...; so-called ...
 rai       BAI      con superlativo ...                       traji modal, 1st place                            with superlative ...
 sezau     BAI*     aprobando                                 zanru modal, 2nd place                            approvingly; approving ...
 sele'a    BAI*     como categoría de                         klesi modal, 2nd place                            as a category of/within ...
 setai     BAI*     como forma de                             tamsmi modal, 2nd place                           similarly; resembling ... (in ideal form)               (x1 resembles x2 sharing ideal form/shape x3 in property x4)
 seji'e    BAI*     limitando a                               jimte modal, 2nd place                            limitedly; as a limit of ...
 setu'i    BAI*     como locación de                          stuzi modal, 2nd place                            as a location of ...
 seta'i    BAI*     como método para                          tadji modal, 2nd place                            methodically; as a method for doing ...
 seme'e    BAI*     como nombre de                            cmene modal, 2nd place (the named one)            as a name for ...
 teme'e    BAI*     nombrado por                              cmene modal, 3rd place                            as a name used by ...
 sepa'u    BAI*     como parte de                             pagbu modal, 2nd place (whole)                    partially; as a part of ...
 sema'i    BAI*     como estándar de                          manri modal, 2nd place (of reference)             as a reference standard for observing ...
 segau     BAI*     como agente de                            gasnu modal, 2nd place actor/agent case complement; actively; as active agent in doing ...
 sera'i    BAI*     como origen de                            krasi modal, 2nd place                            originally; as an origin/starting point of ...
 sekoi     BAI*     como borde de                             korbi modal, 2nd place (bounding)                 as boundary of ...
 seva'o    BAI*     como condiciones de                       vanbi modal, 2nd place (environment)              as conditions/environment of/for ...
 tecu'u    BAI*     dicho a                                   cusku modal, 3rd place (3rd party hearsay)        as told to ...
 sesi'u    BAI*     ayudando a                                sidju modal, 2nd place                            assisting ... (in doing/maintaining something)
 tesi'u    BAI*     ayudando en                               sidju modal, 3rd place                            assisting in doing/maintaining/achieving ...
 terai     BAI*     en extremo ...                            traji modal, 3rd place (superlative)              -est; most extremely; at extreme ...
 tedi'o    BAI*     dentro de rango ...                       diklo modal, 3rd place                            locally; at specific locus within range ...
 sedi'o    BAI*     en lugar ...                              diklo modal, 2nd place                            locally; at specific locus ...
 seti'u    BAI*     a la hora de                              tcika modal, 2nd place (for letters)              at the same time as ... ; label with event
 teca'i    BAI*     autoridad basada en                       catni modal, 3rd place                            authoritatively; with basis of authority ...
 tekoi     BAI*     bordeando                                 korbi modal, 3rd place (bounding)                 bordering ...
 seja'i    BAI*     por regla prescribiendo                   javni modal, 2nd place                            orderly; by rule prescribing ...
 teja'i    BAI*     por regla en                              javni modal, 3rd place                            orderly; by rule within system ...
 xeka'a    BAI*     por medio de transporte                   klama modal, 5th place                            by transport mode ...
 teri'a    BAI*     causado bajo condiciones ...              rinka modal, 2nd place (phys./mental)             causally under conditions ...
 seri'anai BAI*     sin embargo (causal)                      rinka modal, 2nd place (phys./mental)             causal nevertheless ...
 seri'a    BAI*     por lo tanto (causal)                     rinka modal, 2nd place (phys./mental)             causal therefore ...
 sebai     BAI*     forzando                                  bapli modal, 2nd place (forcing result)           compelling event ...
 sera'a    BAI*     con respecto a                            srana modal, 2nd place (pertaining to)            relevantly; concerning ... (less specific)
 tepa'a    BAI*     propiedad contrastante                    panra modal, 3rd place (property)                 contrastingly; contrasting in property ...
 seji'o    BAI*     controlando a                             jitro modal, 2nd place                            controlledly; controlling/guiding aspects ...
